session_id,cli_version,turn_id,model,effort,started_at,completed_at,duration_ms,time_to_first_token_ms,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,model_context_window,n_api_calls,n_tool_calls,wall_clock_s,cache_hit_rate,context_fill,output_tokens_per_s,mean_api_gap_s
019f1e59-ea46-7e62-b765-4375a335a09e,0.142.2,019f1e59-ec28-7260-8eec-01f3283055ff,gpt-5.5,medium,1782920637,1782920640,3427,3055,13706,10112,69,36,13775,258400,1,0,3,0.7377790748577265,0.053041795665634675,20.13422818791946,0.005000114440917969
019f1e59-fe44-7b81-b560-001a5e449914,0.142.2,019f1e59-feb9-7200-9265-a1e57c122f29,gpt-5.5,medium,1782920642,1782920655,13717,13184,13817,10112,555,504,14372,258400,1,0,13,0.7318520662951437,0.05347136222910217,40.46074214478384,0.01399993896484375
019f1e5a-48d5-71f1-8571-90630a087327,0.142.2,019f1e5a-496b-7cf0-90d0-1bfc9fab0d94,gpt-5.5,medium,1782920661,1782920665,4479,3742,14090,10112,192,132,14282,258400,1,0,4,0.7176721078779276,0.054527863777089784,42.86671131949096,0.006000041961669922
019f1e5a-8463-7a41-94b5-d5de4e4c9c1f,0.142.2,019f1e5a-8502-7893-aa66-984fa6beb400,gpt-5.5,medium,1782920676,1782920679,3111,2677,13020,3456,88,52,13108,258400,1,0,3,0.2654377880184332,0.05038699690402477,28.286724525875922,0.006999969482421875
019f1e5a-b2d6-7291-946c-911ef9543c0c,0.142.2,019f1e5a-b339-7491-bacf-1fd53a24d61b,gpt-5.5,medium,1782920688,1782920691,3449,3029,13894,10112,158,115,14052,258400,1,0,3,0.7277961710090687,0.053769349845201236,45.81037982023775,0.007999897003173828
019f1e5a-d51e-7c80-b475-dac8f33f99bb,0.142.2,019f1e5a-d595-74c2-99af-5dedad7164b6,gpt-5.5,medium,1782920697,1782920701,4469,4083,13889,10112,117,80,14006,258400,1,0,4,0.7280581755345957,0.05375,26.180353546654732,0.00800013542175293
019f1e5a-fd76-79f1-8679-c0cefec5a88b,0.142.2,019f1e5a-fe0b-7f90-96bb-a49eab6fb6eb,gpt-5.5,medium,1782920707,1782920711,3653,3463,14387,10112,139,100,14526,258400,1,0,4,0.7028567456731771,0.055677244582043345,38.050917054475775,0.00599980354309082
019f1e5b-237f-76c1-b326-5c370642dd57,0.142.2,019f1e5b-23f8-7980-a8ca-d8b1aacd98ed,gpt-5.5,medium,1782920717,1782920721,4087,3501,15531,10112,146,103,15677,258400,1,0,4,0.6510849269203528,0.060104489164086686,35.72302422314657,0.006999969482421875
019f1e5b-493d-78a1-a745-836948523500,0.142.2,019f1e5b-49a9-7ab2-81c7-a4287d5677ad,gpt-5.5,medium,1782920726,1782920729,2579,2148,13846,10112,81,46,13927,258400,1,0,3,0.7303192257691752,0.05358359133126935,31.407522295463355,0.006999969482421875
019f1e5b-6cae-7b03-8777-202abe925bef,0.142.2,019f1e5b-6d12-70e0-bc74-fcd86bdb7550,gpt-5.5,medium,1782920736,1782920738,2351,2031,13887,10112,85,53,13972,258400,1,0,2,0.7281630301721034,0.053742260061919504,36.154827732879625,0.01399993896484375
019f1e5b-898f-71c2-b1bf-d21462e16332,0.142.2,019f1e5b-8a01-7931-be02-9556e9845c17,gpt-5.5,medium,1782920743,1782920747,3690,3080,14245,10112,141,94,14386,258400,1,0,4,0.7098631098631099,0.05512770897832817,38.21138211382114,0.006000041961669922
019f1e5b-aae9-7243-b4aa-dfd37e241f12,0.142.2,019f1e5b-ab5e-7991-b664-5ca772fb1cc5,gpt-5.5,medium,1782920751,1782920756,4490,4041,13784,10112,156,112,13940,258400,1,0,5,0.7336041787579802,0.053343653250774,34.74387527839644,0.006999969482421875
019f1e5b-de80-7943-ae09-80ffaea9a96c,0.142.2,019f1e5b-df00-7462-83b4-bff645dece24,gpt-5.5,medium,1782920765,1782920771,6145,5559,14046,10112,289,219,14335,258400,1,0,6,0.7199202619962979,0.05435758513931888,47.030105777054516,0.014000177383422852
019f1e5c-1357-7d51-91bd-b3be3910b904,0.142.2,019f1e5c-13f9-78e1-8997-094eb3c1144d,gpt-5.5,medium,1782920778,1782920786,7440,6982,15297,10112,384,340,15681,258400,1,0,8,0.6610446492776362,0.05919891640866873,51.61290322580645,0.015000104904174805
019f1e5c-4fbb-7212-bdf1-22d4a5652109,0.142.2,019f1e5c-5038-78d2-a0cc-b89417c99362,gpt-5.5,medium,1782920794,1782920797,3685,3087,13475,10112,176,115,13651,258400,1,0,3,0.7504267161410019,0.05214783281733746,47.76119402985074,0.006999969482421875
019f1e5c-84eb-7800-ae7f-47a1e335274f,0.142.2,019f1e5c-8559-7cd1-81a1-7f354b5c1720,gpt-5.5,medium,1782920807,1782920812,5063,3473,14169,10112,207,168,14376,258400,1,0,5,0.7136706895334886,0.05483359133126935,40.88485087892554,0.006000041961669922
019f1e5c-b2e1-7bc3-a3f3-b00742c0a547,0.142.2,019f1e5c-b35f-7ca0-aa66-ab97b48c2ba6,gpt-5.5,medium,1782920819,1782920822,2991,2536,13837,10112,111,71,13948,258400,1,0,3,0.7307942473079425,0.05354876160990712,37.11133400200602,0.010999917984008789
019f1e5c-d636-7372-95e9-fbafca8fe98e,0.142.2,019f1e5c-d6c3-74f2-a5b9-7ca4cd45de77,gpt-5.5,medium,1782920828,1782920832,4153,3797,13868,10112,131,95,13999,258400,1,0,4,0.7291606576290741,0.053668730650154796,31.543462557187578,0.014999866485595703
019f1e5c-f8ac-7b00-80c3-00970f7ea4f7,0.142.2,019f1e5c-f92b-7a43-a870-8364dfc8355e,gpt-5.5,medium,1782920837,1782920840,3395,2998,14220,10112,99,57,14319,258400,1,0,3,0.7111111111111111,0.05503095975232198,29.160530191458026,0.009999990463256836
019f1e5d-2252-70c0-a5f8-e24e2d602e7b,0.142.2,019f1e5d-22c4-7940-b7ef-52b8e77c1ff0,gpt-5.5,medium,1782920848,1782920855,7102,6644,13497,10112,264,216,13761,258400,1,0,7,0.7492035267096392,0.05223297213622291,37.172627428893264,0.006000041961669922
019f1e5d-50b9-7790-a288-0d86912b9949,0.142.2,019f1e5d-5124-7383-9e74-71531296720d,gpt-5.5,medium,1782920859,1782920865,5230,4720,13767,10112,310,262,14077,258400,1,0,6,0.7345100602890972,0.05327786377708978,59.273422562141484,0.009000062942504883
019f1e5d-88ec-78c0-bc67-b140a7fdef6d,0.142.2,019f1e5d-8961-7660-a6ac-f04ac8f44ba8,gpt-5.5,medium,1782920874,1782920880,6065,5183,14073,10112,284,236,14357,258400,1,0,6,0.7185390464009096,0.05446207430340557,46.82605111294311,0.0
019f1e5d-c831-72e2-aa43-4fcb4b26e2bd,0.142.2,019f1e5d-c8a6-7da3-863f-746d58fde81f,gpt-5.5,medium,1782920890,1782920893,3205,2850,14306,10112,157,121,14463,258400,1,0,3,0.7068362924647001,0.05536377708978328,48.985959438377535,0.009999990463256836
019f1e5e-0107-7812-9608-ad2cb4763112,0.142.2,019f1e5e-017b-7fc1-9187-e8ee71265198,gpt-5.5,medium,1782920905,1782920909,4321,3804,13574,10112,246,192,13820,258400,1,0,4,0.7449535877412701,0.052530959752321985,56.93126591066883,0.009999990463256836
019f1e5e-2b1e-7540-963e-dc4781fa00fc,0.142.2,019f1e5e-2bab-7702-a750-988c8d9f7da0,gpt-5.5,medium,1782920915,1782920918,2902,2472,13759,10112,124,81,13883,258400,1,0,3,0.7349371320590159,0.053246904024767804,42.72915230875258,0.010999917984008789
019f1e5e-631b-7f71-9765-20adc3513cb0,0.142.2,019f1e5e-638b-7ce1-82c8-c8cb574eac58,gpt-5.5,medium,1782920930,1782920936,6742,5785,13668,10112,111,69,13779,258400,1,0,6,0.7398302604623939,0.052894736842105265,16.46395728270543,0.0
019f1e5e-9119-7ee1-8d0b-fd05459a8910,0.142.2,019f1e5e-91af-7a81-af36-cf92a513182a,gpt-5.5,medium,1782920942,1782920946,4645,4065,14347,10112,223,180,14570,258400,1,0,4,0.7048163379103646,0.05552244582043343,48.00861141011841,0.00599980354309082
019f1e5e-a817-76d3-b5e4-2bde1af32e90,0.142.2,019f1e5e-a89e-7e02-991f-f9781d3ee349,gpt-5.5,medium,1782920947,1782920950,2485,2089,12862,10112,89,53,12951,258400,1,0,3,0.7861918830663971,0.04977554179566564,35.8148893360161,0.006000041961669922
019f1e5e-b645-78f2-b524-41a2f607a937,0.142.2,019f1e5e-b6c4-7301-986e-9ff42e0701cd,gpt-5.5,medium,1782920951,1782920955,3719,3265,13757,10112,171,136,13928,258400,1,0,4,0.7350439776113978,0.05323916408668731,45.98010217800484,0.013000011444091797
019f1e5e-eea3-7373-9e4d-b9b7a86c0c70,0.142.2,019f1e5e-eeff-72a3-996a-50ce9ac1484c,gpt-5.5,medium,1782920965,1782920968,2844,2366,13237,3456,105,65,13342,258400,1,0,3,0.26108634887059,0.05122678018575851,36.91983122362869,0.00800013542175293
019f1e5f-00e5-7c81-ad74-b63c1b2dc437,0.142.2,019f1e5f-0144-78d3-a5dc-fc068dbef704,gpt-5.5,medium,1782920970,1782920976,5687,5068,13976,10112,294,237,14270,258400,1,0,6,0.723526044647968,0.05408668730650155,51.69685247054686,0.0
019f1e5f-285e-7701-989e-38b2d0cbd5ab,0.142.2,019f1e5f-28d4-7221-a93e-031375831cc4,gpt-5.5,medium,1782920980,1782920985,4899,4294,13696,10112,148,118,13844,258400,1,0,5,0.7383177570093458,0.0530030959752322,30.210246989181467,0.006000041961669922
019f1e5f-5246-74c3-9d97-459286b66824,0.142.2,019f1e5f-52c5-7f51-9f65-6b8738865f80,gpt-5.5,medium,1782920991,1782920995,4495,4003,13758,10112,182,143,13940,258400,1,0,4,0.7349905509521732,0.053243034055727556,40.48943270300334,0.00800013542175293
019f1e5f-76fc-7b51-ac71-86bd73a9872b,0.142.2,019f1e5f-776e-7111-9548-365f12a9daef,gpt-5.5,medium,1782921000,1782921003,3014,2646,14231,10112,115,74,14346,258400,1,0,3,0.7105614503548591,0.05507352941176471,38.155275381552755,0.009000062942504883
019f1e5f-a4eb-77f0-8ee7-92650f82b920,0.142.2,019f1e5f-a56b-7882-b3b3-7ffd3c5387cc,gpt-5.5,medium,1782921012,1782921018,5473,5085,13974,10112,245,197,14219,258400,1,0,6,0.7236295978245313,0.05407894736842105,44.76521103599489,0.007999897003173828
019f1e5f-db66-7a42-a404-4fea55574194,0.142.2,019f1e5f-dbe3-7d62-91c2-8392f2fe2592,gpt-5.5,medium,1782921026,1782921033,6795,6330,14481,10112,394,356,14875,258400,1,0,7,0.6982943166908363,0.056041021671826625,57.98381162619573,0.015000104904174805
019f1e60-1459-7742-b55b-d3cf49c59a35,0.142.2,019f1e60-14e1-7f71-9347-0bb6edac723e,gpt-5.5,medium,1782921041,1782921043,2417,2069,13814,10112,92,53,13906,258400,1,0,2,0.7320110033299552,0.05345975232198143,38.06371534960695,0.006999969482421875
